category,dog,cat,other,type,month,year,date
stray,378,409,13,intakes,April,2015,2015-04
owner surrender,237,216,8,intakes,April,2015,2015-04
confiscate,59,27,0,intakes,April,2015,2015-04
wildlife,0,0,95,intakes,April,2015,2015-04
disposal request,36,18,3,intakes,April,2015,2015-04
euthanasia request,51,8,0,intakes,April,2015,2015-04
returns,5,1,0,intakes,April,2015,2015-04
adoption,46,34,0,outcomes,April,2015,2015-04
returned to owner,124,5,0,outcomes,April,2015,2015-04
transfer,282,528,53,outcomes,April,2015,2015-04
euthanasia by request,48,8,0,outcomes,April,2015,2015-04
other euthanasia,215,58,43,outcomes,April,2015,2015-04
died in care,3,7,7,outcomes,April,2015,2015-04
dead on arrival,48,21,13,outcomes,April,2015,2015-04
stray,323,294,2,intakes,April,2016,2016-04
owner surrender,195,193,5,intakes,April,2016,2016-04
confiscate,78,17,2,intakes,April,2016,2016-04
wildlife,0,0,110,intakes,April,2016,2016-04
disposal request,42,18,14,intakes,April,2016,2016-04
euthanasia request,44,12,2,intakes,April,2016,2016-04
returns,3,1,0,intakes,April,2016,2016-04
adoption,44,43,0,outcomes,April,2016,2016-04
returned to owner,109,7,0,outcomes,April,2016,2016-04
transfer,263,389,59,outcomes,April,2016,2016-04
euthanasia by request,40,12,2,outcomes,April,2016,2016-04
other euthanasia,155,32,33,outcomes,April,2016,2016-04
died in care,3,7,4,outcomes,April,2016,2016-04
dead on arrival,52,22,42,outcomes,April,2016,2016-04
stray,255,322,8,intakes,April,2017,2017-04
owner surrender,203,166,3,intakes,April,2017,2017-04
confiscate,63,13,11,intakes,April,2017,2017-04
wildlife,0,0,178,intakes,April,2017,2017-04
disposal request,30,13,4,intakes,April,2017,2017-04
euthanasia request,45,17,0,intakes,April,2017,2017-04
returns,8,2,0,intakes,April,2017,2017-04
adoption,50,52,0,outcomes,April,2017,2017-04
returned to owner,96,12,1,outcomes,April,2017,2017-04
transfer,304,386,121,outcomes,April,2017,2017-04
euthanasia by request,43,16,0,outcomes,April,2017,2017-04
other euthanasia,82,18,44,outcomes,April,2017,2017-04
died in care,1,4,16,outcomes,April,2017,2017-04
dead on arrival,35,19,25,outcomes,April,2017,2017-04
stray,320,235,15,intakes,April,2018,2018-04
owner surrender,219,199,4,intakes,April,2018,2018-04
confiscate,26,17,0,intakes,April,2018,2018-04
wildlife,0,0,127,intakes,April,2018,2018-04
disposal request,39,9,1,intakes,April,2018,2018-04
euthanasia request,55,19,1,intakes,April,2018,2018-04
returns,6,1,0,intakes,April,2018,2018-04
quarantine,15,0,0,intakes,April,2018,2018-04
adoption,89,28,0,outcomes,April,2018,2018-04
strays returned to owner,84,3,4,outcomes,April,2018,2018-04
other returned to owner,31,8,1,outcomes,April,2018,2018-04
transfer,339,425,55,outcomes,April,2018,2018-04
euthanasia by request,47,13,1,outcomes,April,2018,2018-04
other euthanasia,45,25,47,outcomes,April,2018,2018-04
died in care,2,6,18,outcomes,April,2018,2018-04
dead on arrival,37,11,18,outcomes,April,2018,2018-04
stray,320,262,5,intakes,April,2019,2019-04
owner surrender,141,164,7,intakes,April,2019,2019-04
confiscate,22,7,4,intakes,April,2019,2019-04
wildlife,0,0,81,intakes,April,2019,2019-04
disposal request,31,10,3,intakes,April,2019,2019-04
euthanasia request,41,14,0,intakes,April,2019,2019-04
returns,10,1,0,intakes,April,2019,2019-04
quarantine,11,0,0,intakes,April,2019,2019-04
adoption,105,41,0,outcomes,April,2019,2019-04
strays returned to owner,109,4,0,outcomes,April,2019,2019-04
other returned to owner,31,1,0,outcomes,April,2019,2019-04
transfer,228,349,46,outcomes,April,2019,2019-04
euthanasia by request,37,14,0,outcomes,April,2019,2019-04
other euthanasia,42,19,40,outcomes,April,2019,2019-04
died in care,1,2,2,outcomes,April,2019,2019-04
dead on arrival,31,11,13,outcomes,April,2019,2019-04
stray,162,181,15,intakes,April,2020,2020-04
owner surrender,44,69,1,intakes,April,2020,2020-04
confiscate,16,3,0,intakes,April,2020,2020-04
wildlife,0,0,106,intakes,April,2020,2020-04
disposal request,18,7,6,intakes,April,2020,2020-04
euthanasia request,37,5,6,intakes,April,2020,2020-04
returns,3,0,0,intakes,April,2020,2020-04
quarantine,0,1,0,intakes,April,2020,2020-04
adoption,13,2,0,outcomes,April,2020,2020-04
strays returned to owner,46,7,0,outcomes,April,2020,2020-04
other returned to owner,9,2,0,outcomes,April,2020,2020-04
transfer,168,232,50,outcomes,April,2020,2020-04
euthanasia by request,29,4,6,outcomes,April,2020,2020-04
other euthanasia,12,11,53,outcomes,April,2020,2020-04
died in care,3,3,5,outcomes,April,2020,2020-04
dead on arrival,21,9,18,outcomes,April,2020,2020-04
stray,232,325,17,intakes,April,2021,2021-04
owner surrender,56,139,2,intakes,April,2021,2021-04
confiscate,21,8,0,intakes,April,2021,2021-04
wildlife,0,0,105,intakes,April,2021,2021-04
disposal request,36,9,4,intakes,April,2021,2021-04
euthanasia request,55,7,0,intakes,April,2021,2021-04
returns,1,0,0,intakes,April,2021,2021-04
quarantine,4,0,0,intakes,April,2021,2021-04
adoption,30,4,0,outcomes,April,2021,2021-04
strays returned to owner,73,4,0,outcomes,April,2021,2021-04
other returned to owner,21,2,0,outcomes,April,2021,2021-04
transfer,173,390,63,outcomes,April,2021,2021-04
euthanasia by request,40,4,0,outcomes,April,2021,2021-04
other euthanasia,15,24,52,outcomes,April,2021,2021-04
died in care,2,6,6,outcomes,April,2021,2021-04
dead on arrival,36,10,12,outcomes,April,2021,2021-04
stray,372,535,6,intakes,August,2015,2015-08
owner surrender,260,216,37,intakes,August,2015,2015-08
confiscate,64,23,6,intakes,August,2015,2015-08
wildlife,0,0,138,intakes,August,2015,2015-08
disposal request,62,33,5,intakes,August,2015,2015-08
euthanasia request,59,28,0,intakes,August,2015,2015-08
returns,9,1,0,intakes,August,2015,2015-08
adoption,43,53,0,outcomes,August,2015,2015-08
returned to owner,91,9,1,outcomes,August,2015,2015-08
transfer,278,559,118,outcomes,August,2015,2015-08
euthanasia by request,57,29,0,outcomes,August,2015,2015-08
other euthanasia,260,203,42,outcomes,August,2015,2015-08
died in care,10,15,5,outcomes,August,2015,2015-08
dead on arrival,76,47,27,outcomes,August,2015,2015-08
missing,1,0,0,outcomes,August,2015,2015-08
relocate,0,0,1,outcomes,August,2015,2015-08
stray,354,409,9,intakes,August,2016,2016-08
owner surrender,230,218,8,intakes,August,2016,2016-08
confiscate,60,17,6,intakes,August,2016,2016-08
wildlife,0,0,171,intakes,August,2016,2016-08
disposal request,42,22,5,intakes,August,2016,2016-08
euthanasia request,60,11,0,intakes,August,2016,2016-08
returns,2,9,0,intakes,August,2016,2016-08
adoption,58,51,0,outcomes,August,2016,2016-08
returned to owner,115,13,0,outcomes,August,2016,2016-08
transfer,272,485,85,outcomes,August,2016,2016-08
euthanasia by request,57,11,0,outcomes,August,2016,2016-08
other euthanasia,217,86,55,outcomes,August,2016,2016-08
died in care,7,21,10,outcomes,August,2016,2016-08
dead on arrival,47,23,42,outcomes,August,2016,2016-08
relocate,0,0,2,outcomes,August,2016,2016-08
stray,247,489,13,intakes,August,2017,2017-08
owner surrender,186,171,7,intakes,August,2017,2017-08
confiscate,61,12,2,intakes,August,2017,2017-08
wildlife,0,0,141,intakes,August,2017,2017-08
disposal request,56,19,11,intakes,August,2017,2017-08
euthanasia request,85,9,0,intakes,August,2017,2017-08
returns,6,1,0,intakes,August,2017,2017-08
adoption,88,95,0,outcomes,August,2017,2017-08
returned to owner,132,11,0,outcomes,August,2017,2017-08
transfer,264,476,67,outcomes,August,2017,2017-08
euthanasia by request,67,9,0,outcomes,August,2017,2017-08
other euthanasia,54,98,57,outcomes,August,2017,2017-08
died in care,6,12,12,outcomes,August,2017,2017-08
dead on arrival,64,24,34,outcomes,August,2017,2017-08
stray,338,429,14,intakes,August,2018,2018-08
owner surrender,266,193,11,intakes,August,2018,2018-08
confiscate,48,23,32,intakes,August,2018,2018-08
wildlife,0,0,166,intakes,August,2018,2018-08
disposal request,56,24,11,intakes,August,2018,2018-08
euthanasia request,74,17,2,intakes,August,2018,2018-08
returns,6,3,0,intakes,August,2018,2018-08
quarantine,14,1,0,intakes,August,2018,2018-08
adoption,91,103,0,outcomes,August,2018,2018-08
strays returned to owner,76,3,0,outcomes,August,2018,2018-08
other returned to owner,33,6,1,outcomes,August,2018,2018-08
transfer,393,463,126,outcomes,August,2018,2018-08
euthanasia by request,62,14,0,outcomes,August,2018,2018-08
other euthanasia,47,52,59,outcomes,August,2018,2018-08
died in care,4,18,13,outcomes,August,2018,2018-08
dead on arrival,64,32,29,outcomes,August,2018,2018-08
relocate,0,0,1,outcomes,August,2018,2018-08
stray,324,568,17,intakes,August,2019,2019-08
owner surrender,202,257,15,intakes,August,2019,2019-08
confiscate,22,3,8,intakes,August,2019,2019-08
wildlife,0,0,181,intakes,August,2019,2019-08
disposal request,54,23,7,intakes,August,2019,2019-08
euthanasia request,75,27,0,intakes,August,2019,2019-08
returns,9,3,0,intakes,August,2019,2019-08
quarantine,13,0,0,intakes,August,2019,2019-08
adoption,153,148,1,outcomes,August,2019,2019-08
strays returned to owner,71,8,0,outcomes,August,2019,2019-08
other returned to owner,28,1,3,outcomes,August,2019,2019-08
transfer,324,497,153,outcomes,August,2019,2019-08
euthanasia by request,66,25,0,outcomes,August,2019,2019-08
other euthanasia,51,101,44,outcomes,August,2019,2019-08
died in care,9,16,11,outcomes,August,2019,2019-08
dead on arrival,52,32,31,outcomes,August,2019,2019-08
stray,198,383,4,intakes,August,2020,2020-08
owner surrender,54,61,2,intakes,August,2020,2020-08
confiscate,21,7,0,intakes,August,2020,2020-08
wildlife,0,0,204,intakes,August,2020,2020-08
disposal request,26,15,12,intakes,August,2020,2020-08
euthanasia request,63,9,1,intakes,August,2020,2020-08
returns,1,0,0,intakes,August,2020,2020-08
quarantine,11,0,0,intakes,August,2020,2020-08
adoption,42,33,0,outcomes,August,2020,2020-08
strays returned to owner,54,7,1,outcomes,August,2020,2020-08
other returned to owner,16,0,0,outcomes,August,2020,2020-08
transfer,166,333,96,outcomes,August,2020,2020-08
euthanasia by request,53,8,1,outcomes,August,2020,2020-08
other euthanasia,18,36,77,outcomes,August,2020,2020-08
died in care,0,12,10,outcomes,August,2020,2020-08
dead on arrival,29,20,36,outcomes,August,2020,2020-08
stray,317,449,7,intakes,August,2021,2021-08
owner surrender,28,31,14,intakes,August,2021,2021-08
confiscate,38,6,4,intakes,August,2021,2021-08
wildlife,0,0,131,intakes,August,2021,2021-08
disposal request,35,33,7,intakes,August,2021,2021-08
euthanasia request,75,15,3,intakes,August,2021,2021-08
returns,1,1,0,intakes,August,2021,2021-08
quarantine,2,0,0,intakes,August,2021,2021-08
adoption,59,33,0,outcomes,August,2021,2021-08
strays returned to owner,76,8,0,outcomes,August,2021,2021-08
other returned to owner,20,4,0,outcomes,August,2021,2021-08
transfer,199,406,79,outcomes,August,2021,2021-08
euthanasia by request,71,13,3,outcomes,August,2021,2021-08
other euthanasia,41,61,35,outcomes,August,2021,2021-08
died in care,5,20,24,outcomes,August,2021,2021-08
dead on arrival,38,39,20,outcomes,August,2021,2021-08
missing,0,1,0,outcomes,August,2021,2021-08
stray,317,169,5,intakes,December,2015,2015-12
owner surrender,208,105,22,intakes,December,2015,2015-12
confiscate,66,10,6,intakes,December,2015,2015-12
wildlife,0,0,42,intakes,December,2015,2015-12
disposal request,33,16,3,intakes,December,2015,2015-12
euthanasia request,35,6,3,intakes,December,2015,2015-12
returns,2,2,0,intakes,December,2015,2015-12
adoption,36,55,0,outcomes,December,2015,2015-12
returned to owner,104,7,0,outcomes,December,2015,2015-12
transfer,268,290,51,outcomes,December,2015,2015-12
euthanasia by request,35,6,3,outcomes,December,2015,2015-12
other euthanasia,207,41,21,outcomes,December,2015,2015-12
died in care,10,5,0,outcomes,December,2015,2015-12
dead on arrival,43,17,9,outcomes,December,2015,2015-12
relocate,0,0,2,outcomes,December,2015,2015-12
stray,286,196,7,intakes,December,2016,2016-12
owner surrender,184,107,10,intakes,December,2016,2016-12
confiscate,64,9,1,intakes,December,2016,2016-12
wildlife,0,0,42,intakes,December,2016,2016-12
disposal request,37,26,2,intakes,December,2016,2016-12
euthanasia request,67,10,1,intakes,December,2016,2016-12
returns,1,0,0,intakes,December,2016,2016-12
adoption,36,42,0,outcomes,December,2016,2016-12
returned to owner,107,8,0,outcomes,December,2016,2016-12
transfer,354,293,29,outcomes,December,2016,2016-12
euthanasia by request,57,9,1,outcomes,December,2016,2016-12
other euthanasia,105,33,26,outcomes,December,2016,2016-12
died in care,3,3,0,outcomes,December,2016,2016-12
dead on arrival,45,27,9,outcomes,December,2016,2016-12
stray,219,187,9,intakes,December,2017,2017-12
owner surrender,170,149,7,intakes,December,2017,2017-12
confiscate,55,15,0,intakes,December,2017,2017-12
wildlife,0,0,43,intakes,December,2017,2017-12
disposal request,43,11,1,intakes,December,2017,2017-12
euthanasia request,56,15,0,intakes,December,2017,2017-12
returns,6,3,0,intakes,December,2017,2017-12
adoption,66,80,0,outcomes,December,2017,2017-12
returned to owner,83,10,1,outcomes,December,2017,2017-12
transfer,247,363,30,outcomes,December,2017,2017-12
euthanasia by request,49,14,0,outcomes,December,2017,2017-12
other euthanasia,39,21,21,outcomes,December,2017,2017-12
died in care,1,1,1,outcomes,December,2017,2017-12
dead on arrival,50,14,6,outcomes,December,2017,2017-12
stray,318,205,12,intakes,December,2021,2021-12
owner surrender,31,44,1,intakes,December,2021,2021-12
confiscate,20,14,0,intakes,December,2021,2021-12
wildlife,0,0,35,intakes,December,2021,2021-12
disposal request,28,10,2,intakes,December,2021,2021-12
euthanasia request,71,14,2,intakes,December,2021,2021-12
returns,2,0,0,intakes,December,2021,2021-12
adoption,52,54,1,outcomes,December,2021,2021-12
strays returned to owner,76,5,0,outcomes,December,2021,2021-12
other returned to owner,10,4,0,outcomes,December,2021,2021-12
transfer,187,184,34,outcomes,December,2021,2021-12
euthanasia by request,65,12,2,outcomes,December,2021,2021-12
other euthanasia,53,26,18,outcomes,December,2021,2021-12
died in care,3,4,5,outcomes,December,2021,2021-12
dead on arrival,36,17,3,outcomes,December,2021,2021-12
missing,1,0,0,outcomes,December,2021,2021-12
stray,312,205,4,intakes,December,2018,2018-12
owner surrender,141,136,14,intakes,December,2018,2018-12
confiscate,50,8,2,intakes,December,2018,2018-12
wildlife,0,0,42,intakes,December,2018,2018-12
disposal request,34,15,4,intakes,December,2018,2018-12
euthanasia request,60,12,0,intakes,December,2018,2018-12
returns,7,3,0,intakes,December,2018,2018-12
quarantine,3,1,0,intakes,December,2018,2018-12
adoption,108,120,0,outcomes,December,2018,2018-12
strays returned to owner,98,8,0,outcomes,December,2018,2018-12
other returned to owner,22,12,0,outcomes,December,2018,2018-12
transfer,277,197,20,outcomes,December,2018,2018-12
euthanasia by request,54,9,0,outcomes,December,2018,2018-12
other euthanasia,31,20,27,outcomes,December,2018,2018-12
died in care,5,6,3,outcomes,December,2018,2018-12
dead on arrival,39,16,12,outcomes,December,2018,2018-12
stray,326,219,13,intakes,December,2019,2019-12
owner surrender,181,136,13,intakes,December,2019,2019-12
confiscate,48,18,0,intakes,December,2019,2019-12
wildlife,0,0,51,intakes,December,2019,2019-12
disposal request,38,15,2,intakes,December,2019,2019-12
euthanasia request,62,13,0,intakes,December,2019,2019-12
returns,8,3,0,intakes,December,2019,2019-12
quarantine,3,1,0,intakes,December,2019,2019-12
adoption,146,137,0,outcomes,December,2019,2019-12
strays returned to owner,87,5,0,outcomes,December,2019,2019-12
other returned to owner,12,2,0,outcomes,December,2019,2019-12
transfer,281,252,32,outcomes,December,2019,2019-12
euthanasia by request,61,12,0,outcomes,December,2019,2019-12
other euthanasia,41,18,30,outcomes,December,2019,2019-12
died in care,1,7,2,outcomes,December,2019,2019-12
dead on arrival,45,19,5,outcomes,December,2019,2019-12
stray,181,156,4,intakes,December,2020,2020-12
owner surrender,69,85,13,intakes,December,2020,2020-12
confiscate,13,9,3,intakes,December,2020,2020-12
wildlife,0,0,32,intakes,December,2020,2020-12
disposal request,22,12,1,intakes,December,2020,2020-12
euthanasia request,41,16,1,intakes,December,2020,2020-12
returns,2,0,0,intakes,December,2020,2020-12
adoption,35,24,1,outcomes,December,2020,2020-12
strays returned to owner,59,3,0,outcomes,December,2020,2020-12
other returned to owner,8,3,0,outcomes,December,2020,2020-12
transfer,199,199,23,outcomes,December,2020,2020-12
euthanasia by request,36,14,1,outcomes,December,2020,2020-12
other euthanasia,13,16,23,outcomes,December,2020,2020-12
died in care,2,1,2,outcomes,December,2020,2020-12
dead on arrival,22,19,3,outcomes,December,2020,2020-12
stray,279,244,3,intakes,February,2015,2015-02
owner surrender,215,110,53,intakes,February,2015,2015-02
confiscate,60,5,1,intakes,February,2015,2015-02
wildlife,0,0,18,intakes,February,2015,2015-02
disposal request,29,6,3,intakes,February,2015,2015-02
euthanasia request,48,6,0,intakes,February,2015,2015-02
returns,4,1,0,intakes,February,2015,2015-02
adoption,67,34,0,outcomes,February,2015,2015-02
returned to owner,73,3,0,outcomes,February,2015,2015-02
transfer,252,276,64,outcomes,February,2015,2015-02
euthanasia by request,46,6,0,outcomes,February,2015,2015-02
other euthanasia,141,26,8,outcomes,February,2015,2015-02
died in care,2,1,2,outcomes,February,2015,2015-02
dead on arrival,29,17,6,outcomes,February,2015,2015-02
stray,290,156,2,intakes,February,2016,2016-02
owner surrender,203,129,22,intakes,February,2016,2016-02
confiscate,42,10,3,intakes,February,2016,2016-02
wildlife,0,0,37,intakes,February,2016,2016-02
disposal request,38,15,1,intakes,February,2016,2016-02
euthanasia request,48,8,6,intakes,February,2016,2016-02
returns,1,2,0,intakes,February,2016,2016-02
adoption,31,40,0,outcomes,February,2016,2016-02
returned to owner,74,6,0,outcomes,February,2016,2016-02
transfer,281,223,33,outcomes,February,2016,2016-02
euthanasia by request,44,8,6,outcomes,February,2016,2016-02
other euthanasia,135,19,22,outcomes,February,2016,2016-02
died in care,5,3,4,outcomes,February,2016,2016-02
dead on arrival,46,21,10,outcomes,February,2016,2016-02
stray,243,157,3,intakes,February,2017,2017-02
owner surrender,227,122,20,intakes,February,2017,2017-02
confiscate,41,6,2,intakes,February,2017,2017-02
wildlife,0,0,62,intakes,February,2017,2017-02
disposal request,25,16,2,intakes,February,2017,2017-02
euthanasia request,44,7,0,intakes,February,2017,2017-02
returns,2,1,0,intakes,February,2017,2017-02
adoption,49,33,0,outcomes,February,2017,2017-02
returned to owner,85,8,0,outcomes,February,2017,2017-02
transfer,303,220,42,outcomes,February,2017,2017-02
euthanasia by request,40,6,0,outcomes,February,2017,2017-02
other euthanasia,52,16,34,outcomes,February,2017,2017-02
died in care,5,2,1,outcomes,February,2017,2017-02
dead on arrival,34,15,14,outcomes,February,2017,2017-02
stray,304,178,1,intakes,February,2022,2022-02
owner surrender,37,38,15,intakes,February,2022,2022-02
confiscate,13,5,1,intakes,February,2022,2022-02
wildlife,0,0,22,intakes,February,2022,2022-02
disposal request,14,10,2,intakes,February,2022,2022-02
euthanasia request,51,16,0,intakes,February,2022,2022-02
returns,3,1,0,intakes,February,2022,2022-02
adoption,42,21,1,outcomes,February,2022,2022-02
strays returned to owner,64,4,0,outcomes,February,2022,2022-02
other returned to owner,5,2,0,outcomes,February,2022,2022-02
transfer,186,185,19,outcomes,February,2022,2022-02
euthanasia by request,48,10,0,outcomes,February,2022,2022-02
other euthanasia,42,17,9,outcomes,February,2022,2022-02
died in care,2,3,5,outcomes,February,2022,2022-02
dead on arrival,23,11,5,outcomes,February,2022,2022-02
stray,247,154,7,intakes,February,2018,2018-02
owner surrender,153,139,17,intakes,February,2018,2018-02
confiscate,44,10,0,intakes,February,2018,2018-02
wildlife,0,0,43,intakes,February,2018,2018-02
disposal request,31,13,2,intakes,February,2018,2018-02
euthanasia request,57,10,0,intakes,February,2018,2018-02
returns,2,1,0,intakes,February,2018,2018-02
quarantine,9,0,0,outcomes,February,2018,2018-02
adoption,58,22,0,outcomes,February,2018,2018-02
returned to owner,85,7,0,outcomes,February,2018,2018-02
transfer,242,241,34,outcomes,February,2018,2018-02
euthanasia by request,54,8,0,outcomes,February,2018,2018-02
other euthanasia,19,14,21,outcomes,February,2018,2018-02
died in care,2,1,0,outcomes,February,2018,2018-02
dead on arrival,34,14,14,outcomes,February,2018,2018-02
relocate,0,0,1,outcomes,February,2018,2018-02
stray,273,189,3,intakes,February,2019,2019-02
owner surrender,177,118,14,intakes,February,2019,2019-02
confiscate,42,16,0,intakes,February,2019,2019-02
wildlife,0,0,37,intakes,February,2019,2019-02
disposal request,37,19,2,intakes,February,2019,2019-02
euthanasia request,65,11,0,intakes,February,2019,2019-02
returns,4,0,0,intakes,February,2019,2019-02
quarantine,3,1,0,intakes,February,2019,2019-02
adoption,95,76,0,outcomes,February,2019,2019-02
strays returned to owner,79,4,0,outcomes,February,2019,2019-02
other returned to owner,33,5,2,outcomes,February,2019,2019-02
transfer,235,246,24,outcomes,February,2019,2019-02
euthanasia by request,59,9,0,outcomes,February,2019,2019-02
other euthanasia,21,11,24,outcomes,February,2019,2019-02
died in care,1,2,0,outcomes,February,2019,2019-02
dead on arrival,40,22,5,outcomes,February,2019,2019-02
stray,295,208,13,intakes,February,2020,2020-02
owner surrender,155,150,13,intakes,February,2020,2020-02
confiscate,63,33,23,intakes,February,2020,2020-02
wildlife,0,0,71,intakes,February,2020,2020-02
disposal request,32,17,1,intakes,February,2020,2020-02
euthanasia request,43,7,2,intakes,February,2020,2020-02
returns,4,4,0,intakes,February,2020,2020-02
quarantine,9,0,0,intakes,February,2020,2020-02
adoption,78,85,3,outcomes,February,2020,2020-02
strays returned to owner,85,5,0,outcomes,February,2020,2020-02
other returned to owner,33,8,1,outcomes,February,2020,2020-02
transfer,287,248,46,outcomes,February,2020,2020-02
euthanasia by request,38,7,2,outcomes,February,2020,2020-02
other euthanasia,29,15,44,outcomes,February,2020,2020-02
died in care,3,2,2,outcomes,February,2020,2020-02
dead on arrival,33,19,16,outcomes,February,2020,2020-02
stray,181,239,3,intakes,February,2021,2021-02
owner surrender,53,86,4,intakes,February,2021,2021-02
confiscate,19,11,2,intakes,February,2021,2021-02
wildlife,0,0,42,intakes,February,2021,2021-02
disposal request,33,11,5,intakes,February,2021,2021-02
euthanasia request,45,7,1,intakes,February,2021,2021-02
returns,1,0,0,intakes,February,2021,2021-02
adoption,17,2,0,outcomes,February,2021,2021-02
strays returned to owner,42,3,0,outcomes,February,2021,2021-02
other returned to owner,10,1,0,outcomes,February,2021,2021-02
transfer,161,321,20,outcomes,February,2021,2021-02
euthanasia by request,41,5,1,outcomes,February,2021,2021-02
other euthanasia,8,11,18,outcomes,February,2021,2021-02
died in care,2,3,4,outcomes,February,2021,2021-02
dead on arrival,40,12,10,outcomes,February,2021,2021-02
stray,352,218,9,intakes,January,2015,2015-01
owner surrender,261,143,25,intakes,January,2015,2015-01
confiscate,70,14,1,intakes,January,2015,2015-01
wildlife,0,0,14,intakes,January,2015,2015-01
disposal request,37,18,2,intakes,January,2015,2015-01
euthanasia request,44,6,0,intakes,January,2015,2015-01
returns,4,0,0,intakes,January,2015,2015-01
adoption,59,29,0,outcomes,January,2015,2015-01
returned to owner,90,5,0,outcomes,January,2015,2015-01
transfer,371,304,43,outcomes,January,2015,2015-01
euthanasia by request,44,6,0,outcomes,January,2015,2015-01
other euthanasia,165,28,5,outcomes,January,2015,2015-01
died in care,7,4,2,outcomes,January,2015,2015-01
dead on arrival,46,25,8,outcomes,January,2015,2015-01
relocate,0,1,0,outcomes,January,2015,2015-01
stray,272,138,6,intakes,January,2016,2016-01
owner surrender,207,129,25,intakes,January,2016,2016-01
confiscate,72,2,1,intakes,January,2016,2016-01
wildlife,0,0,30,intakes,January,2016,2016-01
disposal request,50,17,3,intakes,January,2016,2016-01
euthanasia request,45,4,5,intakes,January,2016,2016-01
adoption,43,51,0,outcomes,January,2016,2016-01
returned to owner,89,3,0,outcomes,January,2016,2016-01
transfer,278,200,36,outcomes,January,2016,2016-01
euthanasia by request,42,4,5,outcomes,January,2016,2016-01
other euthanasia,153,24,16,outcomes,January,2016,2016-01
died in care,3,3,0,outcomes,January,2016,2016-01
dead on arrival,57,18,9,outcomes,January,2016,2016-01
stray,279,155,7,intakes,January,2017,2017-01
owner surrender,228,89,9,intakes,January,2017,2017-01
confiscate,46,4,0,intakes,January,2017,2017-01
wildlife,0,0,46,intakes,January,2017,2017-01
disposal request,35,16,1,intakes,January,2017,2017-01
euthanasia request,48,8,0,intakes,January,2017,2017-01
returns,1,1,0,intakes,January,2017,2017-01
adoption,51,50,0,outcomes,January,2017,2017-01
returned to owner,92,3,0,outcomes,January,2017,2017-01
transfer,325,225,31,outcomes,January,2017,2017-01
euthanasia by request,50,7,0,outcomes,January,2017,2017-01
other euthanasia,60,22,21,outcomes,January,2017,2017-01
died in care,6,3,0,outcomes,January,2017,2017-01
dead on arrival,40,20,12,outcomes,January,2017,2017-01
stray,243,146,6,intakes,January,2018,2018-01
owner surrender,181,145,12,intakes,January,2018,2018-01
confiscate,58,10,0,intakes,January,2018,2018-01
wildlife,0,0,53,intakes,January,2018,2018-01
disposal request,38,19,1,intakes,January,2018,2018-01
euthanasia request,88,12,0,intakes,January,2018,2018-01
returns,7,3,0,intakes,January,2018,2018-01
adoption,122,55,0,outcomes,January,2018,2018-01
returned to owner,85,3,0,outcomes,January,2018,2018-01
transfer,303,279,33,outcomes,January,2018,2018-01
euthanasia by request,80,12,0,outcomes,January,2018,2018-01
other euthanasia,34,17,28,outcomes,January,2018,2018-01
died in care,0,2,2,outcomes,January,2018,2018-01
dead on arrival,47,18,11,outcomes,January,2018,2018-01
missing,1,0,0,outcomes,January,2018,2018-01
stray,345,208,5,intakes,January,2020,2020-01
owner surrender,175,205,17,intakes,January,2020,2020-01
confiscate,42,21,3,intakes,January,2020,2020-01
wildlife,0,0,50,intakes,January,2020,2020-01
disposal request,42,23,3,intakes,January,2020,2020-01
euthanasia request,69,15,1,intakes,January,2020,2020-01
returns,5,9,0,intakes,January,2020,2020-01
quarantine,8,0,0,intakes,January,2020,2020-01
adoption,132,114,0,outcomes,January,2020,2020-01
strays returned to owner,92,3,0,outcomes,January,2020,2020-01
other returned to owner,23,2,3,outcomes,January,2020,2020-01
transfer,308,314,36,outcomes,January,2020,2020-01
euthanasia by request,58,14,1,outcomes,January,2020,2020-01
other euthanasia,42,12,30,outcomes,January,2020,2020-01
died in care,2,1,0,outcomes,January,2020,2020-01
dead on arrival,42,28,11,outcomes,January,2020,2020-01
stray,293,204,12,intakes,January,2022,2022-01
owner surrender,29,68,3,intakes,January,2022,2022-01
confiscate,34,12,1,intakes,January,2022,2022-01
wildlife,0,0,26,intakes,January,2022,2022-01
disposal request,22,5,2,intakes,January,2022,2022-01
euthanasia request,70,12,1,intakes,January,2022,2022-01
returns,2,2,0,intakes,January,2022,2022-01
adoption,46,48,0,outcomes,January,2022,2022-01
strays returned to owner,82,4,0,outcomes,January,2022,2022-01
other returned to owner,11,1,0,outcomes,January,2022,2022-01
transfer,205,262,21,outcomes,January,2022,2022-01
euthanasia by request,52,10,1,outcomes,January,2022,2022-01
other euthanasia,27,9,16,outcomes,January,2022,2022-01
died in care,1,0,1,outcomes,January,2022,2022-01
dead on arrival,25,12,5,outcomes,January,2022,2022-01
stray,243,157,4,intakes,January,2019,2019-01
owner surrender,167,127,5,intakes,January,2019,2019-01
confiscate,53,13,0,intakes,January,2019,2019-01
wildlife,0,0,30,intakes,January,2019,2019-01
disposal request,41,14,5,intakes,January,2019,2019-01
euthanasia request,51,5,0,intakes,January,2019,2019-01
returns,3,1,0,intakes,January,2019,2019-01
quarantine,11,1,0,intakes,January,2019,2019-01
adoption,71,71,0,outcomes,January,2019,2019-01
